Country,School.Closing.0.C,School.Closing.1.C,School.Closing.2.C,Workplace.Closing.0.C,Workplace.Closing.1.C,Workplace.Closing.2.C,Cancel.Public.Events.0.C,Cancel.Public.Events.1.C,Restrictions.on.Gatherings.0.C,Restrictions.on.Gatherings.1.C,Restrictions.on.Gatherings.2.C,Restrictions.on.Gatherings.3.C,Close.Public.Transport.0.C,Close.Public.Transport.1.C,Stay.at.Home.0.C,Stay.at.Home.1.C,Stay.at.Home.2.C,Restrictions.on.Internal.Movement.0.C,Restrictions.on.Internal.Movement.1.C,International.Travel.Controls.1.C,International.Travel.Controls.2.C,International.Travel.Controls.3.C,Income.Support.0.E,Income.Support.1.E,Public.Information.Campaigns.1.H,Testing.Policy.1.H,Testing.Policy.2.H,Facial.Coverings.0.H,Facial.Coverings.1.H,Facial.Coverings.2.H,Facial.Coverings.3.H,Vaccination.Policy.0.H,Temperature,GDP,Human.Development.Index,Diabetes.Prevalence,Cardiovascular.Diseases,Respiratory.Cancer,Life.Expectancy,Air.Pollution,AIDS.Prevalence,Chronic.Respiratory.Diseases.Rate,Blood.Pressure,Population.Density,Smoking.Prevalence,Alcohol.Consumption,Obesity.Rate,Gender.Ratio,Total.Test,People.Vaccinated,People.Fully.Vaccinated,Age.0.14,Age.15.64,Age.over.65,Total.Cancer,Emergency.Investment.in.Healthcare.H,Investment.in.Vaccines.H,Total.Vaccinations,MS.Prevalence,Total.Cases.Per.1m,IFR
Algeria,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0.067911715,0.390230912,-0.041666667,0,0.255205199,-0.333333333,0.201932367,0.398058252,-0.255033557,0,0.014693878,-0.388684616,-0.227187058,-0.675599436,0.422360248,-0.748768473,-0.149995523,-0.033268947,0.079864219,0.339104478,-0.290996785,-0.063291139,-0.25,2.082286782,0,-0.25270545,0.199207829,-0.280063239,0.549019608
Angola,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0.003395586,0.114643201,-0.75,-0.488888889,0.241244434,-0.333333333,-1.317874396,-0.265372168,2.214765101,1,0.61877551,-0.347289764,-0.739437726,0.169252468,-0.770186335,0.689655172,-0.207248502,-0.160176612,-0.201534825,1.298507463,-2.175241158,-0.430379747,-0.25,1.079859848,0,-0.225764057,-0.20305219,-0.308669738,0.437908497
Benin,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0.410865874,-0.13492529,-0.875,-1.266666667,-0.000601757,-0.333333333,-1.257971014,0.326860841,1.006711409,1,0.127346939,0.11018859,-1.138134129,-0.41325811,-0.683229814,-0.137931034,-0.251417821,-0.172316529,-0.20666432,1.035223881,-1.636655949,-0.34092827,-0.25,0.26788296,0,-0.195325046,-0.202586207,-0.315852568,-0.176470588
Botswana,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,-0.121680564,-0.083333333,-0.2,0.008544951,-0.333333333,-0.502415459,-0.281553398,30.60402685,1,0.826122449,-0.470228917,0.157609549,0.119887165,-0.105590062,0.305418719,-0.114554025,-0.155684156,-0.128027156,0.530746269,-0.45659164,-0.247257384,0,0,0,-0.161598439,-0.137931034,0.062112828,-0.013071895
Burkina Faso,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0.458404075,-0.129559711,-1.291666667,0.133333333,0.19918161,-0.333333333,-1.276328502,0.546925566,0.604026846,2,0.119183673,-0.06570988,-0.447070834,0.887165021,-0.931677019,-0.128078818,-0.247825567,-0.158271176,-0.204645713,1.182686567,-1.897106109,-0.412658228,-0.25,0,0,-0.213526958,-0.199091333,-0.316385328,-0.424836601
Burundi,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,-0.115449915,-0.173080266,-1.375,-0.355555556,0.343723673,-0.333333333,-1.276328502,0.427184466,1.422818792,1,0.631836735,2.087000356,-0.714072562,0.204513399,-0.944099379,0.522167488,-0.196350101,-0.086007287,-0.156957757,1.225671642,-1.996784566,-0.421097046,-0.25,0.00497513,0,-0.206285461,-0.200139795,-0.319598139,-0.954248366
Cameroon,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0.210526316,-0.052378566,-0.833333333,-0.155555556,0.052413046,-0.333333333,-1.497584541,0.100323625,4.429530201,1,0.403265306,-0.177499703,-0.973221297,-0.012693935,-0.571428571,-0.305418719,-0.221426716,-0.171450617,-0.206387729,1.044179104,-1.575562701,-0.38649789,-0.25,0.985473235,0,-0.252616642,-0.208527493,-0.279571436,-0.032679739
Cape Verde,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0.122241087,-0.176541983,-0.195416667,0.234666667,-0.323324106,-0.333333333,-0.174879227,0.330097087,1.355704698,0.21,0.481061224,0.306369351,0,-0.007461213,-0.546583851,-0.088669951,0.190565617,-0.159576475,-0.201811416,0.131098507,0.263954984,-0.094860759,0,0.171675721,6.882370964,-0.031401023,0.004077353,0.572222626,-0.45751634
Chad,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.34295416,-0.145239194,-1.5,-0.155555556,0.271091587,-0.333333333,-1.985507246,1.012944984,1.771812081,2,0.693877551,-0.420946507,-0.776896498,-0.616361072,-0.900621118,-0.315270936,-0.251302605,-0.159929355,-0.200204928,1.310447761,-2.254019293,-0.405907173,-0.25,0.695696009,0,-0.219868369,-0.20305219,-0.321715038,0.888888889
Djibouti,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0.441426146,-0.172033036,-1,-0.355555556,0.13292815,-0.333333333,-0.742028986,-0.048543689,1.852348993,1,0.409795918,-0.248487724,-0.291424533,-0.748942172,-0.440993789,-0.433497537,-0.193527667,-0.168321331,-0.203697259,0.258507463,0.237942122,-0.227004219,-0.25,0.000486505,0,-0.136081102,-0.196877912,-0.156814851,-0.058823529
Egypt,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0.040747029,0.832865051,-0.208333333,2.333333333,1.741966542,-0.333333333,-0.270531401,1.773462783,-0.295302013,0,0.303673469,0.092515716,-0.023009267,-0.758815233,0.708074534,-0.807881773,-0.176158438,-0.16039952,-0.200780488,0.534925373,-0.61414791,-0.170464135,-0.25,0,0,-0.19266583,0.478797763,-0.285420253,2.732026144
Eritrea,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.271646859,-0.176508451,-1.25,-0.355555556,0.45228066,-0.333333333,-0.818357488,0.28802589,0.604026846,1,-0.453877551,-0.291068675,-1.138134129,-0.606488011,-0.968944099,-0.183546798,-0.256519263,-0.068955933,-0.102759869,0.923170149,-1.33914791,-0.338767932,0,0,0,-0.098062641,-0.178588071,-0.306139373,-0.810457516
Ethiopia,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0.0475382,0.138441133,-1.166666667,-0.533333333,-0.320856902,-0.333333333,-0.791304348,0.297734628,0.912751678,1,0.318367347,0.079765152,-1.342311921,-0.476727786,-1,-0.187192118,-0.262392361,-0.130049726,-0.199603219,0.92358209,-1.376205788,-0.318987342,-0.25,0.003663066,0,-0.062020771,-0.208527493,-0.287719019,-0.013071895
