Continent,Iso_alpha,Latitude,Longitude,Country,Total.Vaccinations,MS.Prevalence,School.Closing-C,Workplace.Closing-C,Cancel.Public.Events-C,Restrictions.on.Gatherings-C,Close.Public.Transport-C,Stay.at.Home-C,Restrictions.on.Internal.Movement-C,International.Travel.Controls-C,Income.Support-E,Public.Information.Campaigns-H,Testing.Policy-H,Facial.Coverings-H,Vaccination.Policy-H,Temperature,GDP,Human.Development.Index,Diabetes.Prevalence,Cardiovascular.Diseases,Respiratory.Cancer,Life.Expectancy,Air.Pollution,AIDS.Prevalence,Chronic.Respiratory.Diseases.Rate,Blood.Pressure,Population.Density,Smoking.Prevalence,Alcohol.Consumption,Obesity.Rate,Gender.Ratio,Total.Cases.Per.1m,Total.Deaths.Per.1m,Total.Test,People.Vaccinated,People.Fully.Vaccinated,Age.0.14,Age.15.64,Age.over.65,Total.Cancer,Emergency.Investment.in.Healthcare-H,Investment.in.Vaccines-H,Total.Cases,Total.Deaths,IFR
Africa,DZA,28.03,1.66,Algeria,30,35,1,2,1,4,2,2,2,4,0,2,1,3,0,22.5,1.71E+11,0.75,6.7,278.36,0.01,76.88,7.87,0.04,0,125.92,17.73,18.8,0.95,27.4,49.5,2841.75,68.27,,,,30.55,62.9,6.55,0.02,599469.5,0,124614,2995,2.4
Africa,AGO,-11.2,17.87,Angola,,,3,2,1,4,1,1,2,4,0,2,2,3,0,21.55,88815697793,0.58,4.5,276.04,0.01,61.15,5.82,1.88,0.01,129.62,24.71,,6.94,8.2,50.96,1081.63,24.07,,14.35,2.04,46.62,51.18,2.2,0.02,310880.83,0,35549,792,2.23
Africa,BEN,9.31,2.32,Benin,,,2,1,1,3,0,0,0,2,2,2,2,3,0,27.55,14390709095,0.55,1,235.85,0.01,61.77,7.65,0.98,0.01,126.61,101.85,7.2,2.81,9.6,50.12,639.68,8.24,,0.19,0,42.21,54.53,3.26,0.02,77120.82,0,7755,100,1.29
Africa,BWA,-22.33,24.68,Botswana,,,1,1,1,3,0,1,2,4,1,2,2,3,0,21.5,18340480936,0.74,5.8,237.37,0.01,69.59,5.77,23.03,0.01,130.89,3.98,23.7,6.59,18.9,50.57,23895.39,367.83,,19.59,,33.76,61.87,4.37,0.03,0,0,56193,865,1.54
Africa,BFA,12.24,-1.56,Burkina Faso,,,0,0,0,3,0,0,0,1,0,2,3,3,0,28.25,15990803570,0.45,7.3,269.05,0.01,61.58,8.33,0.68,0.02,126.56,72.19,16,12.03,5.6,50.13,606.9,5.56,,,,44.68,52.91,2.41,0.02,0,0,12686,116,0.91
Africa,BDI,-3.37,29.92,Burundi,,,0,0,0,0,0,0,0,2,0,1,1,1,0,19.8,3012334882,0.43,5.1,293.07,0.01,61.58,7.96,1.29,0.01,129.7,435.18,12.6,7.19,5.4,50.79,409.22,0.42,,,,45.4,52.29,2.31,0.02,1432.29,0,4866,5,0.1
Africa,CMR,7.37,12.35,Cameroon,400,0,1,0,2,3,0,0,1,1,0,2,2,3,0,24.6,39007354359,0.56,6,244.66,0.01,59.29,6.95,3.53,0.01,128.3,53.34,9.3,5.65,11.4,49.95,2872.01,43.32,,1.2,0.11,42.36,54.91,2.72,0.02,283707.87,0,76240,1150,1.51
Africa,CPV,16,-24.01,Cape Verde,,,3,2,2,4,0,1,2,1,1,2,3,3,0,23.3,1982000000,,,182.22,0.01,72.98,7.66,1.24,,,134.93,,,11.8,50.17,55281.77,476.67,270.37,15.05,1.93,,,,0.03,49423.72,116357.08,30736,265,0.86
Africa,TCD,15.45,18.73,Chad,,,2,2,2,3,0,2,2,2,0,2,1,4,0,26.55,11314951343,0.4,6,281,0.01,54.24,9.77,1.55,0.02,130.08,12.29,11.8,1.37,6.1,49.94,278.97,8.17,,,,46.82,50.69,2.49,0.02,200283.91,0,4582,134,2.92
Africa,DJI,11.83,42.59,Djibouti,,1,1,1,2,4,0,0,0,1,1,2,1,3,0,28,3324634256,0.52,5.1,258.04,0.01,67.11,6.49,1.61,0.01,128.34,41.37,,0.43,13.5,49.82,10425.06,152.82,,4.85,1.18,29.2,66.19,4.61,0.02,140.06,0,10300,151,1.47
Africa,EGY,26.82,30.8,Egypt,250171,59,2,2,2,1,0,1,2,1,1,2,2,2,0,22.1,3.03E+11,0.71,17.2,525.43,0.01,71.99,12.12,0.01,0,127.69,98.87,21.4,0.36,32,49.44,2512.14,144.28,,14.09,2.34,33.83,60.89,5.28,0.02,0,0,257078,14765,5.74
Africa,ERI,15.18,39.78,Eritrea,,,2,3,2,4,2,2,2,4,0,2,3,2,0,25.5,1990000000,0.46,5.1,311.11,0.01,66.32,7.53,0.68,0.01,123.05,34.19,7.2,1.44,5,,1237.32,3.95,,,,,,,0.03,0,0,4388,14,0.32
Africa,ETH,9.15,40.49,Ethiopia,794473,0,1,1,1,3,2,0,2,2,0,2,1,3,0,22.2,95912590628,0.48,4.3,182.63,0.01,66.6,7.56,0.91,0.01,127.78,96.72,4.6,2.36,4.5,50.07,2370.7,36.48,23.48,49.49,,40.34,56.15,3.52,0.02,1054.56,0,272544,4196,1.54
Africa,GAB,-0.8,11.61,Gabon,,,1,2,2,3,1,2,2,3,2,2,3,3,0,25.05,16874450215,0.7,6,259.97,0.01,66.47,6.06,3.4,0.01,127.94,8.22,,8.74,15,48.63,10660.78,65.15,,3.48,1.16,37.18,59.28,3.54,0.02,0,0,23728,145,0.61
Africa,GMB,13.44,-15.31,Gambia,,,0,0,2,4,1,0,0,4,0,2,2,3,0,27.5,1826000000,0.5,1.9,331.43,0.01,62.05,9.39,1.63,0.01,131.52,225.31,14.4,3.55,10.3,50.5,2473.25,73.67,26.99,9.07,0.25,44.13,53.31,2.56,0.01,0,0,5977,178,2.98
